2013-05-01 16:46:56: Backup: init
2013-05-01 16:46:56: adding new snapshot: 1367426792
2013-05-01 16:46:57: table: wp_commentmeta segment: 1/1
2013-05-01 16:46:58: table: wp_comments segment: 1/1
2013-05-01 16:46:59: table: wp_links segment: 1/1
2013-05-01 16:47:00: table: wp_options segment: 1/1
2013-05-01 16:47:01: table: wp_postmeta segment: 1/7
2013-05-01 16:47:02: table: wp_postmeta segment: 2/7
2013-05-01 16:47:03: table: wp_postmeta segment: 3/7
2013-05-01 16:47:04: table: wp_postmeta segment: 4/7
2013-05-01 16:47:05: table: wp_postmeta segment: 5/7
2013-05-01 16:47:06: table: wp_postmeta segment: 6/7
2013-05-01 16:47:07: table: wp_postmeta segment: 7/7
2013-05-01 16:47:08: table: wp_posts segment: 1/1
2013-05-01 16:47:09: table: wp_term_relationships segment: 1/1
2013-05-01 16:47:10: table: wp_term_taxonomy segment: 1/1
2013-05-01 16:47:12: table: wp_terms segment: 1/1
2013-05-01 16:47:13: table: wp_usermeta segment: 1/1
2013-05-01 16:47:14: table: wp_users segment: 1/1
2013-05-01 16:47:15: table: wp_blc_filters segment: 1/1
2013-05-01 16:47:17: table: wp_blc_instances segment: 1/1
2013-05-01 16:47:19: table: wp_blc_links segment: 1/1
2013-05-01 16:47:20: table: wp_blc_synch segment: 1/1
2013-05-01 16:47:21: table: wp_bpspro_seclog_ignore segment: 1/1
2013-05-01 16:47:23: table: wp_podsrel segment: 1/1
2013-05-01 16:47:24: table: wp_rg_form segment: 1/1
2013-05-01 16:47:25: table: wp_rg_form_meta segment: 1/1
2013-05-01 16:47:26: table: wp_rg_form_view segment: 1/1
2013-05-01 16:47:26: table: wp_rg_lead segment: 1/1
2013-05-01 16:47:27: table: wp_rg_lead_detail segment: 1/1
2013-05-01 16:47:28: table: wp_rg_lead_detail_long segment: 1/1
2013-05-01 16:47:29: table: wp_rg_lead_meta segment: 1/1
2013-05-01 16:47:30: table: wp_rg_lead_notes segment: 1/1
2013-05-01 16:47:31: table: wp_wp_rp_tags segment: 1/1
2013-05-01 16:47:32: table: wp_yarpp_related_cache segment: 1/1
2013-05-01 16:47:33: table: jhp_commentmeta segment: 1/1
2013-05-01 16:47:34: table: jhp_comments segment: 1/1
2013-05-01 16:47:35: table: jhp_links segment: 1/1
2013-05-01 16:47:36: table: jhp_options segment: 1/1
2013-05-01 16:47:37: table: jhp_postmeta segment: 1/1
2013-05-01 16:47:37: table: jhp_posts segment: 1/1
2013-05-01 16:47:38: table: jhp_term_relationships segment: 1/1
2013-05-01 16:47:39: table: jhp_term_taxonomy segment: 1/1
2013-05-01 16:47:40: table: jhp_terms segment: 1/1
2013-05-01 16:47:41: table: jhp_usermeta segment: 1/1
2013-05-01 16:47:41: table: jhp_users segment: 1/1
2013-05-01 16:47:42: finish: snapshot-1367426792-130501-164632-12fb30b6.zip
